Month,Day,Day of Week,Hour,Occupancy
1,21,0,0,4.125
1,21,0,1,2.5
1,21,0,2,2.125
1,21,0,3,1.25
1,21,0,4,0.1
1,21,0,5,0.0
1,21,0,6,0.25
1,21,0,7,0.75
1,21,0,8,0.625
1,21,0,9,2.5
1,21,0,10,2.75
1,21,0,11,5.625
1,21,0,12,6.625
1,21,0,13,7.75
1,21,0,14,7.625
1,21,0,15,7.0
1,21,0,16,6.25
1,21,0,17,6.75
1,21,0,18,4.875
1,21,0,19,3.875
1,21,0,20,2.625
1,21,0,21,2.625
1,21,0,22,1.625
1,21,0,23,1.875
1,21,1,0,0.75
1,21,1,1,0.0
1,21,1,2,0.125
1,21,1,3,0.0
1,21,1,4,0.0
1,21,1,5,0.0
1,21,1,6,0.125
1,21,1,7,2.875
1,21,1,8,4.25
1,21,1,9,4.125
1,21,1,10,4.375
1,21,1,11,4.75
1,21,1,12,6.625
1,21,1,13,7.5
1,21,1,14,12.375
1,21,1,15,7.875
1,21,1,16,9.25
1,21,1,17,9.625
1,21,1,18,7.25
1,21,1,19,6.125
1,21,1,20,3.75
1,21,1,21,2.625
1,21,1,22,1.875
1,21,1,23,0.875
1,21,4,0,0.0
1,21,4,1,0.0
1,21,4,2,0.0
1,21,4,3,0.0
1,21,4,4,0.0
1,21,4,5,0.0
1,21,4,6,0.25
1,21,4,7,2.125
1,21,4,8,4.125
1,21,4,9,3.875
1,21,4,10,3.25
1,21,4,11,3.625
1,21,4,12,4.125
1,21,4,13,4.5
1,21,4,14,4.375
1,21,4,15,5.25
1,21,4,16,6.5
1,21,4,17,7.0
1,21,4,18,6.375
1,21,4,19,4.125
1,21,4,20,2.625
1,21,4,21,1.875
1,21,4,22,1.625
1,21,4,23,0.75
1,22,1,0,0.375
1,22,1,1,0.0
1,22,1,2,0.0
1,22,1,3,0.0
1,22,1,4,0.0
1,22,1,5,0.0
1,22,1,6,0.75
1,22,1,7,5.0
1,22,1,8,9.0
1,22,1,9,7.625
1,22,1,10,5.125
1,22,1,11,5.125
1,22,1,12,6.25
1,22,1,13,7.25
1,22,1,14,7.25
1,22,1,15,8.75
1,22,1,16,12.25
1,22,1,17,11.75
1,22,1,18,9.875
1,22,1,19,9.25
1,22,1,20,4.75
1,22,1,21,3.625
1,22,1,22,2.125
1,22,1,23,2.25
1,22,2,0,0.25
1,22,2,1,0.0
1,22,2,2,0.0
1,22,2,3,0.0
1,22,2,4,0.0
1,22,2,5,0.0
1,22,2,6,0.5
1,22,2,7,3.375
1,22,2,8,9.625
1,22,2,9,8.875
1,22,2,10,6.375
1,22,2,11,6.0
1,22,2,12,7.125
1,22,2,13,8.25
1,22,2,14,8.125
1,22,2,15,8.5
1,22,2,16,11.875
1,22,2,17,11.625
1,22,2,18,10.75
1,22,2,19,10.25
1,22,2,20,6.5
1,22,2,21,4.625
1,22,2,22,2.875
1,22,2,23,1.5
1,22,5,0,0.125
1,22,5,1,0.0
1,22,5,2,0.0
1,22,5,3,0.0
1,22,5,4,0.0
1,22,5,5,0.0
1,22,5,6,0.5
1,22,5,7,1.875
1,22,5,8,4.625
1,22,5,9,4.0
1,22,5,10,3.625
1,22,5,11,4.0
1,22,5,12,4.875
1,22,5,13,5.375
1,22,5,14,5.625
1,22,5,15,6.375
1,22,5,16,7.625
1,22,5,17,7.625
1,22,5,18,7.375
1,22,5,19,5.5
1,22,5,20,3.75
1,22,5,21,2.75
1,22,5,22,2.25
1,22,5,23,2.125
1,23,2,0,0.5
1,23,2,1,0.0
1,23,2,2,0.0
1,23,2,3,0.0
1,23,2,4,0.0
1,23,2,5,0.0
1,23,2,6,0.625
1,23,2,7,5.125
1,23,2,8,9.5
1,23,2,9,8.75
1,23,2,10,5.75
1,23,2,11,6.125
1,23,2,12,6.25
1,23,2,13,7.125
1,23,2,14,7.625
1,23,2,15,8.75
1,23,2,16,12.25
1,23,2,17,10.125
1,23,2,18,8.5
1,23,2,19,10.625
1,23,2,20,5.875
1,23,2,21,4.625
1,23,2,22,2.75
1,23,2,23,1.125
1,23,3,0,1.875
1,23,3,1,0.125
1,23,3,2,0.0
1,23,3,3,0.0
1,23,3,4,0.0
1,23,3,5,0.0
1,23,3,6,0.25
1,23,3,7,3.375
1,23,3,8,9.0
1,23,3,9,8.875
1,23,3,10,5.875
1,23,3,11,5.625
1,23,3,12,7.125
1,23,3,13,8.125
1,23,3,14,8.5
1,23,3,15,9.125
1,23,3,16,12.75
1,23,3,17,14.75
1,23,3,18,10.625
1,23,3,19,10.25
1,23,3,20,7.375
1,23,3,21,4.875
1,23,3,22,3.75
1,23,3,23,1.875
1,23,6,0,1.25
1,23,6,1,0.75
1,23,6,2,0.25
1,23,6,3,0.0
1,23,6,4,0.0
1,23,6,5,0.0
1,23,6,6,0.0
1,23,6,7,0.5
1,23,6,8,1.25
1,23,6,9,2.25
1,23,6,10,3.375
1,23,6,11,4.75
1,23,6,12,5.25
1,23,6,13,6.375
1,23,6,14,6.75
1,23,6,15,6.375
1,23,6,16,5.5
1,23,6,17,5.75
1,23,6,18,5.0
1,23,6,19,4.375
1,23,6,20,3.125
1,23,6,21,2.75
1,23,6,22,2.125
1,23,6,23,1.625
1,24,0,0,1.125
1,24,0,1,0.375
1,24,0,2,0.5
1,24,0,3,0.375
1,24,0,4,0.0
1,24,0,5,0.0
1,24,0,6,0.0
1,24,0,7,0.125
1,24,0,8,0.625
1,24,0,9,1.125
1,24,0,10,1.5
1,24,0,11,2.875
1,24,0,12,3.625
1,24,0,13,4.0
1,24,0,14,4.75
1,24,0,15,4.125
1,24,0,16,3.75
1,24,0,17,3.125
1,24,0,18,3.125
1,24,0,19,2.125
1,24,0,20,1.875
1,24,0,21,1.0
1,24,0,22,0.875
1,24,0,23,0.625
1,24,3,0,0.375
1,24,3,1,0.0
1,24,3,2,0.0
1,24,3,3,0.0
1,24,3,4,0.0
1,24,3,5,0.0
1,24,3,6,0.625
1,24,3,7,4.875
1,24,3,8,9.75
1,24,3,9,8.625
1,24,3,10,5.5
1,24,3,11,6.25
1,24,3,12,7.1
1,24,3,13,9.166666666666666
1,24,3,14,8.25
1,24,3,15,9.25
1,24,3,16,11.333333333333334
1,24,3,17,9.833333333333334
1,24,3,18,10.75
1,24,3,19,10.0
1,24,3,20,6.125
1,24,3,21,5.0
1,24,3,22,3.75
1,24,3,23,1.875
1,24,4,0,1.0
1,24,4,1,0.25
1,24,4,2,0.0
1,24,4,3,0.0
1,24,4,4,0.0
1,24,4,5,0.0
1,24,4,6,0.5
1,24,4,7,3.25
1,24,4,8,9.0
1,24,4,9,9.25
1,24,4,10,7.0
1,24,4,11,5.625
1,24,4,12,8.375
1,24,4,13,8.375
1,24,4,14,8.625
1,24,4,15,9.25
1,24,4,16,12.375
1,24,4,17,16.25
1,24,4,18,10.625
1,24,4,19,10.25
1,24,4,20,7.375
1,24,4,21,5.375
1,24,4,22,5.875
1,24,4,23,2.625
1,25,1,0,0.0
1,25,1,1,0.0
1,25,1,2,0.0
1,25,1,3,0.0
1,25,1,4,0.0
1,25,1,5,0.0
1,25,1,6,0.25
1,25,1,7,2.0
1,25,1,8,4.5
1,25,1,9,3.875
1,25,1,10,2.75
1,25,1,11,3.0
1,25,1,12,4.0
1,25,1,13,5.0
1,25,1,14,4.375
1,25,1,15,4.875
1,25,1,16,6.25
1,25,1,17,7.125
1,25,1,18,6.125
1,25,1,19,4.25
1,25,1,20,2.125
1,25,1,21,1.25
1,25,1,22,1.0
1,25,1,23,0.25
1,25,4,0,0.75
1,25,4,1,0.125
1,25,4,2,0.0
1,25,4,3,0.0
1,25,4,4,0.0
1,25,4,5,0.0
1,25,4,6,0.5
1,25,4,7,3.125
1,25,4,8,9.75
1,25,4,9,9.75
1,25,4,10,5.875
1,25,4,11,5.5
1,25,4,12,7.25
1,25,4,13,7.75
1,25,4,14,9.3
1,25,4,15,9.75
1,25,4,16,12.125
1,25,4,17,10.5
1,25,4,18,10.75
1,25,4,19,8.75
1,25,4,20,5.875
1,25,4,21,4.5
1,25,4,22,4.5
1,25,4,23,2.375
1,25,5,0,1.75
1,25,5,1,0.5
1,25,5,2,0.125
1,25,5,3,0.0
1,25,5,4,0.0
1,25,5,5,0.0
1,25,5,6,0.375
1,25,5,7,3.0
1,25,5,8,8.25
1,25,5,9,8.875
1,25,5,10,6.375
1,25,5,11,6.25
1,25,5,12,7.375
1,25,5,13,8.625
1,25,5,14,9.25
1,25,5,15,9.875
1,25,5,16,13.0
1,25,5,17,12.25
1,25,5,18,9.25
1,25,5,19,9.25
1,25,5,20,6.625
1,25,5,21,4.625
1,25,5,22,4.625
1,25,5,23,3.75
1,26,2,0,0.0
1,26,2,1,0.0
1,26,2,2,0.0
1,26,2,3,0.0
1,26,2,4,0.0
1,26,2,5,0.0
1,26,2,6,0.375
1,26,2,7,2.25
1,26,2,8,4.875
1,26,2,9,3.625
1,26,2,10,3.25
1,26,2,11,3.875
1,26,2,12,4.0
1,26,2,13,4.75
1,26,2,14,4.875
1,26,2,15,5.5
1,26,2,16,6.5
1,26,2,17,7.625
1,26,2,18,6.75
1,26,2,19,4.5
1,26,2,20,2.625
1,26,2,21,2.5
1,26,2,22,1.125
