Month,Day,Hour,Day of Week,Occupancy
4,2,14,5,16.625
4,2,15,5,9.5
4,2,16,5,11.0
4,2,17,5,11.5
4,2,18,5,8.5
4,2,19,5,8.5
4,2,20,5,5.75
4,2,21,5,4.0
4,2,22,5,3.125
4,2,23,5,1.75
4,5,0,5,0.125
4,5,1,5,0.0
4,5,2,5,0.0
4,5,3,5,0.0
4,5,4,5,0.0
4,5,5,5,0.25
4,5,6,5,2.5
4,5,7,5,11.125
4,5,8,5,20.25
4,5,9,5,25.375
4,5,10,5,9.5
4,5,11,5,9.625
4,5,12,5,10.375
4,5,13,5,24.125
4,5,14,5,9.375
4,5,15,5,8.0
4,5,16,5,15.625
4,5,17,5,29.75
4,5,18,5,33.25
4,5,19,5,16.625
4,5,20,5,7.0
4,5,21,5,4.875
4,5,22,5,3.25
4,5,23,5,1.875
4,6,0,5,0.125
4,6,1,5,0.0
4,6,2,5,0.0
4,6,3,5,0.0
4,6,4,5,0.0
4,6,5,5,0.625
4,6,6,5,3.625
4,6,7,5,11.625
4,6,8,5,28.2
4,6,9,5,18.625
4,6,10,5,8.625
4,6,11,5,12.75
4,6,12,5,15.375
4,6,13,5,17.375
4,6,14,5,9.9
4,6,15,5,11.5
4,6,16,5,14.625
4,6,17,5,32.75
4,6,18,5,27.625
4,6,19,5,10.375
4,6,20,5,6.5
4,6,21,5,4.75
4,6,22,5,3.25
4,6,23,5,2.0
4,10,0,5,0.0
4,10,1,5,0.0
4,10,2,5,0.0
4,10,3,5,0.0
4,10,4,5,0.0
4,10,5,5,0.0
4,10,6,5,0.375
4,10,7,5,0.875
4,10,8,5,1.25
4,10,9,5,1.75
4,10,10,5,1.875
4,10,11,5,2.0
4,10,12,5,2.75
4,10,13,5,2.75
4,10,14,5,2.25
4,10,15,5,2.375
4,10,16,5,2.375
4,10,17,5,2.5
4,10,18,5,2.625
4,10,19,5,2.25
4,10,20,5,1.625
4,10,21,5,1.0
4,10,22,5,0.25
4,10,23,5,0.0
4,12,0,5,0.0
4,12,1,5,0.0
4,12,2,5,0.0
4,12,3,5,0.0
4,12,4,5,0.0
4,12,5,5,0.625
4,12,6,5,4.375
4,12,7,5,11.375
4,12,8,5,23.5
4,12,9,5,21.125
4,12,10,5,9.25
4,12,11,5,9.0
4,12,12,5,11.625
4,12,13,5,18.125
4,12,14,5,9.25
4,12,15,5,9.5
4,12,16,5,12.5
4,12,17,5,28.25
4,12,18,5,32.25
4,12,19,5,25.875
4,12,20,5,7.0
4,12,21,5,4.875
4,12,22,5,3.75
4,12,23,5,2.25
4,13,0,5,0.125
4,13,1,5,0.0
4,13,2,5,0.0
4,13,3,5,0.0
4,13,4,5,0.0
4,13,5,5,0.75
4,13,6,5,4.0
4,13,7,5,10.625
4,13,8,5,15.125
4,13,9,5,17.0
4,13,10,5,9.5
4,13,11,5,9.333333333333334
4,13,12,5,9.375
4,13,13,5,8.5
4,13,14,5,8.125
4,13,15,5,9.75
4,13,16,5,9.875
4,13,17,5,33.625
4,13,18,5,29.875
4,13,19,5,13.125
4,13,20,5,6.25
4,13,21,5,4.625
4,13,22,5,3.375
4,13,23,5,2.25
4,16,0,5,0.125
4,16,1,5,0.0
4,16,2,5,0.0
4,16,3,5,0.0
4,16,4,5,0.0
4,16,5,5,0.0
4,16,6,5,1.0
4,16,7,5,3.75
4,16,8,5,6.375
4,16,9,5,7.0
4,16,10,5,6.0
4,16,11,5,6.333333333333333
4,16,12,5,8.0
4,16,13,5,8.625
4,16,14,5,9.25
4,16,15,5,9.875
4,16,16,5,13.75
4,16,17,5,12.375
4,16,18,5,9.5
4,16,19,5,8.0
4,16,20,5,6.625
4,16,21,5,4.125
4,16,22,5,2.75
4,16,23,5,2.0
4,17,0,5,0.0
4,17,1,5,0.0
4,17,2,5,0.0
4,17,3,5,0.0
4,17,4,5,0.0
4,17,5,5,0.0
4,17,6,5,0.25
4,17,7,5,1.125
4,17,8,5,1.875
4,17,9,5,2.0
4,17,10,5,1.75
4,17,11,5,1.875
4,17,12,5,2.625
4,17,13,5,2.625
4,17,14,5,2.5
4,17,15,5,2.125
4,17,16,5,2.75
4,17,17,5,2.75
4,17,18,5,2.375
4,17,19,5,1.875
4,17,20,5,1.0
4,17,21,5,0.5
4,17,22,5,0.0
4,17,23,5,0.0
4,20,0,5,0.125
4,20,1,5,0.0
4,20,2,5,0.0
4,20,3,5,0.0
4,20,4,5,0.0
4,20,5,5,0.875
4,20,6,5,3.875
4,20,7,5,12.25
4,20,8,5,21.625
4,20,9,5,12.375
4,20,10,5,8.5
4,20,11,5,10.375
4,20,12,5,14.375
4,20,13,5,11.875
4,20,14,5,9.25
4,20,15,5,10.0
4,20,16,5,16.125
4,20,17,5,22.0
4,20,18,5,30.625
4,20,19,5,8.875
4,20,20,5,7.5
4,20,21,5,4.75
4,20,22,5,3.25
4,20,23,5,2.5
4,23,0,5,0.0
4,23,1,5,0.0
4,23,2,5,0.0
4,23,3,5,0.0
4,23,4,5,0.0
4,23,5,5,0.125
4,23,6,5,1.125
4,23,7,5,3.5
4,23,8,5,6.2
4,23,9,5,6.125
4,23,10,5,6.1
4,23,11,5,6.125
4,23,12,5,9.0
4,23,13,5,14.25
4,23,14,5,8.0
4,23,15,5,9.625
4,23,16,5,8.5
4,23,17,5,8.75
4,23,18,5,8.25
4,23,19,5,6.625
4,23,20,5,5.0
4,23,21,5,4.25
4,23,22,5,2.625
4,23,23,5,1.625
4,24,0,5,0.625
4,24,1,5,0.0
4,24,2,5,0.0
4,24,3,5,0.0
4,24,4,5,0.0
4,24,5,5,0.0
4,24,6,5,0.375
4,24,7,5,1.375
4,24,8,5,1.75
4,24,9,5,2.0
4,24,10,5,2.375
4,24,11,5,2.625
4,24,12,5,3.0
4,24,13,5,2.875
4,24,14,5,3.125
4,24,15,5,3.0
4,24,16,5,2.625
4,24,17,5,3.25
4,24,18,5,3.125
4,24,19,5,3.0
4,24,20,5,2.125
4,24,21,5,1.25
4,24,22,5,0.25
4,24,23,5,0.125
4,26,0,5,0.375
4,26,1,5,0.0
4,26,2,5,0.0
4,26,3,5,0.0
4,26,4,5,0.0
4,26,5,5,0.25
4,26,6,5,2.75
4,26,7,5,9.375
4,26,8,5,21.75
4,26,9,5,26.875
4,26,10,5,12.375
4,26,11,5,10.25
4,26,12,5,27.125
4,26,13,5,13.625
4,26,14,5,9.875
4,26,15,5,8.25
4,26,16,5,8.875
4,26,17,5,32.25
4,26,18,5,32.125
4,26,19,5,10.375
4,26,20,5,7.125
4,26,21,5,5.25
4,26,22,5,4.125
4,26,23,5,2.5
4,27,0,5,0.25
4,27,1,5,0.0
4,27,2,5,0.0
4,27,3,5,0.0
4,27,4,5,0.0
4,27,5,5,0.5
4,27,6,5,3.875
4,27,7,5,11.6
4,27,8,5,25.625
4,27,9,5,14.125
4,27,10,5,9.2
4,27,11,5,8.833333333333334
4,27,12,5,27.25
4,27,13,5,21.625
4,27,14,5,8.5
4,27,15,5,9.0
4,27,16,5,15.125
4,27,17,5,22.5
4,27,18,5,10.375
4,27,19,5,10.875
4,27,20,5,5.875
4,27,21,5,5.5
4,27,22,5,3.375
4,27,23,5,2.125
5,1,0,5,0.0
5,1,1,5,0.0
5,1,2,5,0.0
5,1,3,5,0.0
5,1,4,5,0.0
5,1,5,5,0.0
5,1,6,5,0.375
5,1,7,5,1.375
5,1,8,5,2.0
5,1,9,5,2.5
5,1,10,5,2.375
5,1,11,5,3.0
5,1,12,5,3.625
5,1,13,5,4.0
5,1,14,5,3.875
5,1,15,5,3.875
5,1,16,5,4.125
5,1,17,5,3.625
5,1,18,5,4.125
5,1,19,5,3.375
5,1,20,5,2.625
5,1,21,5,1.5
5,1,22,5,0.625
5,1,23,5,0.25
5,4,0,5,0.25
5,4,1,5,0.0
5,4,2,5,0.0
5,4,3,5,0.0
5,4,4,5,0.0
5,4,5,5,0.625
5,4,6,5,3.625
5,4,7,5,15.25
5,4,8,5,18.2
5,4,9,5,12.5
5,4,10,5,16.25
5,4,11,5,8.625
5,4,12,5,7.25
5,4,13,5,7.0
5,4,14,5,7.0
5,4,15,5,7.875
5,4,16,5,13.625
5,4,17,5,21.25
5,4,18,5,13.25
5,4,19,5,15.75
5,4,20,5,5.125
5,4,21,5,4.125
5,4,22,5,3.375
5,4,23,5,2.0
5,8,0,5,0.0
5,8,1,5,0.0
5,8,2,5,0.0
5,8,3,5,0.0
5,8,4,5,0.0
5,8,5,5,0.0
5,8,6,5,0.5
5,8,7,5,1.75
5,8,8,5,2.125
5,8,9,5,2.875
5,8,10,5,2.875
5,8,11,5,2.75
5,8,12,5,3.875
5,8,13,5,4.0
5,8,14,5,3.875
5,8,15,5,4.625
5,8,16,5,4.0
5,8,17,5,3.875
5,8,18,5,4.0
5,8,19,5,3.5
5,8,20,5,2.375
5,8,21,5,1.5
5,8,22,5,0.625
5,8,23,5,0.375
5,10,0,5,0.0
5,10,1,5,0.0
5,10,2,5,0.0
5,10,3,5,0.0
5,10,4,5,0.0
5,10,5,5,0.875
5,10,6,5,4.0
5,10,7,5,11.75
5,10,8,5,21.5
5,10,9,5,21.625
5,10,10,5,8.75
5,10,11,5,8.375
5,10,12,5,10.0
5,10,13,5,9.875
5,10,14,5,9.0
5,10,15,5,8.25
5,10,16,5,9.166666666666666
5,10,17,5,21.875
5,10,18,5,15.375
5,10,19,5,10.875
5,10,20,5,7.5
5,10,21,5,4.25
5,10,22,5,3.125
5,10,23,5,2.125
5,11,0,5,0.25
5,11,1,5,0.0
5,11,2,5,0.0
5,11,3,5,0.0
5,11,4,5,0.0
5,11,5,5,0.125
5,11,6,5,2.625
5,11,7,5,9.0
5,11,8,5,28.625
5,11,9,5,16.625
5,11,10,5,10.125
5,11,11,5,9.625
5,11,12,5,10.875
5,11,13,5,10.625
5,11,14,5,9.375
5,11,15,5,9.0
5,11,16,5,8.75
5,11,17,5,35.25
5,11,18,5,24.125
5,11,19,5,11.5
5,11,20,5,6.75
5,11,21,5,4.875
5,11,22,5,4.125
5,11,23,5,2.625
5,17,0,5,0.25
5,17,1,5,0.0
5,17,2,5,0.0
5,17,3,5,0.0
5,17,4,5,0.0
5,17,5,5,0.75
5,17,6,5,4.375
5,17,7,5,19.8
5,17,8,5,21.166666666666668
5,17,9,5,20.125
5,17,10,5,10.0
5,17,11,5,9.75
5,17,12,5,10.875
5,17,13,5,10.875
5,17,14,5,8.75
5,17,15,5,8.375
5,17,16,5,17.75
5,17,17,5,18.0
5,17,18,5,16.75
5,17,19,5,9.75
5,17,20,5,7.0
5,17,21,5,5.375
5,17,22,5,4.0
5,17,23,5,2.375
5,18,0,5,0.0
5,18,1,5,0.0
5,18,2,5,0.0
5,18,3,5,0.0
5,18,4,5,0.0
5,18,5,5,0.875
5,18,6,5,3.875
5,18,7,5,11.375
5,18,8,5,31.5
5,18,9,5,20.875
5,18,10,5,9.5
5,18,11,5,11.75
5,18,12,5,11.25
5,18,13,5,13.625
5,18,14,5,9.125
5,18,15,5,8.875
5,18,16,5,15.625
5,18,17,5,33.875
5,18,18,5,12.375
5,18,19,5,13.5
5,18,20,5,6.75
5,18,21,5,5.125
5,18,22,5,4.125
5,18,23,5,2.375
5,21,0,5,0.375
5,21,1,5,0.0
5,21,2,5,0.0
5,21,3,5,0.0
5,21,4,5,0.0
5,21,5,5,0.125
5,21,6,5,1.0
5,21,7,5,3.875
5,21,8,5,7.125
5,21,9,5,7.75
5,21,10,5,6.25
5,21,11,5,7.125
5,21,12,5,10.0
5,21,13,5,8.5
5,21,14,5,9.0
5,21,15,5,20.75
5,21,16,5,14.625
5,21,17,5,22.625
5,21,18,5,24.125
5,21,19,5,11.75
5,21,20,5,8.0
5,21,21,5,6.0
5,21,22,5,4.5
5,21,23,5,2.375
5,24,0,5,0.125
5,24,1,5,0.0
5,24,2,5,0.0
5,24,3,5,0.0
5,24,4,5,0.0
5,24,5,5,0.625
5,24,6,5,3.5
5,24,7,5,10.75
5,24,8,5,27.125
5,24,9,5,16.25
5,24,10,5,9.375
5,24,11,5,11.375
5,24,12,5,13.125
5,24,13,5,21.5
5,24,14,5,9.9
5,24,15,5,8.75
5,24,16,5,8.875
5,24,17,5,15.25
5,24,18,5,10.0
5,24,19,5,8.125
5,24,20,5,6.75
5,24,21,5,5.625
5,24,22,5,3.875
5,24,23,5,3.0
5,29,0,5,0.0
5,29,1,5,0.0
5,29,2,5,0.0
5,29,3,5,0.0
5,29,4,5,0.0
5,29,5,5,0.0
5,29,6,5,0.375
5,29,7,5,1.875
