KITS ID,Direction,Month,Day,Hour,Day of Week,Occupancy
5,NB,1,13,13,0,10.5
5,NB,1,13,14,0,11.0
5,NB,1,13,15,0,10.125
5,NB,1,13,16,0,10.875
5,NB,1,13,17,0,9.75
5,NB,1,13,18,0,8.5
5,NB,1,13,19,0,7.625
5,NB,1,13,20,0,5.875
5,NB,1,13,21,0,4.0
5,NB,1,13,22,0,3.0
5,NB,1,13,23,0,1.25
5,NB,1,14,0,1,0.5
5,NB,1,14,1,1,0.0
5,NB,1,14,2,1,0.0
5,NB,1,14,3,1,0.0
5,NB,1,14,4,1,0.0
5,NB,1,14,5,1,0.25
5,NB,1,14,6,1,2.25
5,NB,1,14,7,1,9.5
5,NB,1,14,8,1,24.5
5,NB,1,16,13,2,4.5
5,NB,1,16,14,2,3.125
5,NB,1,16,15,2,3.625
5,NB,1,16,16,2,3.75
5,NB,1,16,17,2,3.75
5,NB,1,16,18,2,4.125
5,NB,1,16,19,2,3.375
5,NB,1,16,20,2,3.25
5,NB,1,16,21,2,2.0
5,NB,1,16,22,2,1.625
5,NB,1,16,23,2,0.5
5,NB,1,17,0,3,0.5
5,NB,1,17,1,3,0.0
5,NB,1,17,2,3,0.0
5,NB,1,17,3,3,0.0
5,NB,1,17,4,3,0.0
5,NB,1,17,5,3,0.125
5,NB,1,17,6,3,2.0
5,NB,1,17,7,3,6.75
5,NB,1,17,8,3,12.0
5,NB,1,17,9,3,17.875
5,NB,1,17,10,3,35.75
5,NB,1,17,11,3,25.0
5,NB,1,17,12,3,8.375
5,NB,1,17,13,3,9.5
5,NB,1,17,14,3,8.3
5,NB,1,17,15,3,8.75
5,NB,1,17,16,3,9.125
5,NB,1,17,17,3,10.5
5,NB,1,17,18,3,10.375
5,NB,1,17,19,3,8.75
5,NB,1,17,20,3,5.75
5,NB,1,17,21,3,4.75
5,NB,1,17,22,3,3.25
5,NB,1,17,23,3,1.5
5,NB,1,18,0,4,1.0
5,NB,1,18,1,4,0.0
5,NB,1,18,2,4,0.0
5,NB,1,18,3,4,0.0
5,NB,1,18,4,4,0.0
5,NB,1,18,5,4,0.375
5,NB,1,18,6,4,2.25
5,NB,1,18,7,4,10.25
5,NB,1,18,8,4,30.75
5,NB,1,18,9,4,35.875
5,NB,1,18,10,4,9.75
5,NB,1,18,11,4,7.625
5,NB,1,18,12,4,8.0
5,NB,1,18,13,4,10.375
5,NB,1,18,14,4,9.125
5,NB,1,18,15,4,8.5
5,NB,1,18,16,4,9.5
5,NB,1,18,17,4,10.625
5,NB,1,18,18,4,13.0
5,NB,1,18,19,4,10.125
5,NB,1,18,20,4,7.0
5,NB,1,18,21,4,5.125
5,NB,1,18,22,4,4.5
5,NB,1,18,23,4,2.0
5,NB,1,19,0,5,0.875
5,NB,1,19,1,5,0.5
5,NB,1,19,2,5,0.0
5,NB,1,19,3,5,0.0
5,NB,1,19,4,5,0.0
5,NB,1,19,5,5,0.125
5,NB,1,19,6,5,2.625
5,NB,1,19,7,5,9.75
5,NB,1,19,8,5,24.875
5,NB,1,19,9,5,20.0
5,NB,1,19,10,5,8.625
5,NB,1,19,11,5,8.375
5,NB,1,19,12,5,10.375
5,NB,1,19,13,5,15.0
5,NB,1,19,14,5,11.0
5,NB,1,19,15,5,9.125
5,NB,1,19,16,5,10.0
5,NB,1,19,17,5,10.125
5,NB,1,19,18,5,9.75
5,NB,1,19,19,5,9.625
5,NB,1,19,20,5,7.375
5,NB,1,19,21,5,6.375
5,NB,1,19,22,5,6.0
5,NB,1,19,23,5,4.125
5,NB,1,20,0,6,2.75
5,NB,1,20,1,6,1.875
5,NB,1,20,2,6,1.25
5,NB,1,20,3,6,0.5
5,NB,1,20,4,0,0.125
5,NB,1,20,4,6,0.0
5,NB,1,20,5,0,0.0
5,NB,1,20,5,6,0.0
5,NB,1,20,6,0,0.625
5,NB,1,20,6,6,0.375
5,NB,1,20,7,0,0.875
5,NB,1,20,7,6,1.5
5,NB,1,20,8,0,1.875
5,NB,1,20,8,6,2.875
5,NB,1,20,9,0,3.625
5,NB,1,20,9,6,5.125
5,NB,1,20,10,0,5.25
5,NB,1,20,10,6,7.5
5,NB,1,20,11,0,7.125
5,NB,1,20,11,6,9.25
5,NB,1,20,12,0,9.875
5,NB,1,20,12,6,20.875
5,NB,1,20,13,0,11.0
5,NB,1,20,13,6,34.0
5,NB,1,20,14,0,13.875
5,NB,1,20,14,6,34.0
5,NB,1,20,15,0,11.75
5,NB,1,20,15,6,29.0
5,NB,1,20,16,0,9.875
5,NB,1,20,16,6,36.875
5,NB,1,20,17,0,10.0
5,NB,1,20,17,6,16.875
5,NB,1,20,18,0,10.125
5,NB,1,20,18,6,11.25
5,NB,1,20,19,0,7.875
5,NB,1,20,19,6,10.25
5,NB,1,20,20,0,6.125
5,NB,1,20,20,6,7.75
5,NB,1,20,21,0,5.25
5,NB,1,20,21,6,6.375
5,NB,1,20,22,0,4.0
5,NB,1,20,22,6,5.375
5,NB,1,20,23,0,2.25
5,NB,1,20,23,6,3.625
5,NB,1,21,0,0,3.5
5,NB,1,21,0,1,1.5
5,NB,1,21,1,0,2.5
5,NB,1,21,1,1,0.5
5,NB,1,21,2,0,1.375
5,NB,1,21,2,1,0.125
5,NB,1,21,3,0,0.75
5,NB,1,21,3,1,0.0
5,NB,1,21,4,0,0.0
5,NB,1,21,4,1,0.0
5,NB,1,21,5,0,0.0
5,NB,1,21,5,1,0.125
5,NB,1,21,6,0,0.16666666666666666
5,NB,1,21,6,1,1.75
5,NB,1,21,7,0,0.6666666666666666
5,NB,1,21,7,1,4.625
5,NB,1,21,8,0,1.25
5,NB,1,21,8,1,7.125
5,NB,1,21,9,0,2.625
5,NB,1,21,9,1,7.25
5,NB,1,21,10,0,4.5
5,NB,1,21,10,1,7.375
5,NB,1,21,11,0,5.875
5,NB,1,21,11,1,7.375
5,NB,1,21,12,0,7.875
5,NB,1,21,12,1,9.25
5,NB,1,21,13,0,9.625
5,NB,1,21,13,1,10.875
5,NB,1,21,14,0,10.25
5,NB,1,21,14,1,11.5
5,NB,1,21,15,0,9.5
5,NB,1,21,15,1,9.625
5,NB,1,21,16,0,9.375
5,NB,1,21,16,1,16.833333333333332
5,NB,1,21,17,0,7.75
5,NB,1,21,17,1,10.25
5,NB,1,21,18,0,7.375
5,NB,1,21,18,1,9.875
5,NB,1,21,19,0,7.0
5,NB,1,21,19,1,8.75
